EventID,Event
91,"Canoeing Women's Kayak Fours, 500 metres"
158,Ice Hockey Women's Ice Hockey
108,"Cycling Men's Team Pursuit, 4,000 metres"
192,Sailing Men's One Person Dinghy
170,Modern Pentathlon Men's Team
258,Trampolining Women's Individual
57,Athletics Women's Shot Put
165,Judo Men's Middleweight
207,Shooting Mixed Skeet
161,Judo Men's Half-Lightweight
129,"Fencing Women's Foil, Team"
17,Athletics Men's 20 kilometres Walk
25,Athletics Men's 50 kilometres Walk
186,Rowing Women's Double Sculls
82,Boxing Women's Flyweight
43,Athletics Women's 100 metres Hurdles
37,Athletics Men's Standing High Jump
38,Athletics Men's Standing Long Jump
28,Athletics Men's Discus Throw
29,"Athletics Men's Discus Throw, Greek Style"
75,Boxing Men's Light-Heavyweight
32,Athletics Men's Javelin Throw
295,"Wrestling Women's Heavyweight, Freestyle"
196,Sailing Mixed Two Person Keelboat
216,"Speed Skating Men's 1,500 metres"
284,"Wrestling Men's Light-Flyweight, Freestyle"
294,"Wrestling Women's Featherweight, Freestyle"
237,Swimming Women's 200 metres Freestyle
241,Swimming Women's 400 metres Freestyle
238,Swimming Women's 200 metres Individual Medley
242,Swimming Women's 400 metres Individual Medley
166,Judo Men's Open Class
210,Shooting Mixed Trap
138,Freestyle Skiing Men's Slopestyle
190,Rugby Sevens Men's Rugby Sevens
297,"Wrestling Women's Lightweight, Freestyle"
76,Boxing Men's Light-Middleweight
171,Modern Pentathlon Women's Individual
85,"Canoeing Men's Canadian Doubles, Slalom"
168,Judo Women's Half-Lightweight
209,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
208,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
197,Sailing Women's Two Person Dinghy
6,Alpine Skiing Women's Downhill
160,Judo Men's Half-Heavyweight
139,Freestyle Skiing Women's Halfpipe
53,Athletics Women's Heptathlon
105,Cycling Men's Points Race
245,Synchronized Swimming Women's Solo
118,"Equestrianism Mixed Dressage, Individual"
119,"Equestrianism Mixed Dressage, Team"
